player_id,player_name,team_name
2941,Ismaïla Sarr,Senegal
2948,Nabil Fekir,France
2954,Youri Tielemans,Belgium
2956,Bertrand Isidore Traoré,Burkina Faso
2972,Marcus Thuram,France
2974,Saîf-Eddine Khaoui,Tunisia
2988,Memphis Depay,Netherlands
2989,Alexander Djiku,Ghana
2995,Ángel Fabián Di María Hernández,Argentina
2999,Presnel Kimpembe,France
3009,Kylian Mbappé Lottin,France
3013,Nicolas Pépé,Côte d'Ivoire
3017,Ibrahim Sangaré,Côte d'Ivoire
3026,Adrien Rabiot,France
3027,Mathias Jørgensen Jatta,Denmark
3034,Kamil Glik,Poland
3035,Steeve Yago,Burkina Faso
3037,Mousa Sidi Yaya Dembélé,Belgium
3042,Mikel Merino Zazón,Spain
3043,Christian Dannemann Eriksen,Denmark
3044,Chancel Mbemba Mangulu,Congo DR
3053,Leroy Sané,Germany
3054,Fernando Luiz Roza,Brazil
3058,Javier Hernández Balcázar,Mexico
3063,Danilo Luiz da Silva,Brazil
3064,David Josué Jiménez Silva,Spain
3067,Ederson Santana de Moraes,Brazil
3076,Ayoze Pérez Gutiérrez,Spain
3077,Jan Vertonghen,Belgium
3083,Heung-Min Son,South Korea
3086,Ben Davies,Wales
3089,Kevin De Bruyne,Belgium
3090,Nicolás Hernán Otamendi,Argentina
3091,Moussa Sissoko,France
3094,Bamidele Alli,England
3097,Pascal Groß,Germany
3099,Hugo Lloris,France
3101,Vincent Kompany,Belgium
3130,Gaël Kakuta,Congo DR
3135,Chang-Hoon Kwon,South Korea
3138,Abdoulaye Touré,Guinea
3139,Chidozie Collins Awaziem,Nigeria
3141,André-Frank Zambo Anguissa,Cameroon
3145,Keita Baldé Diao,Senegal
3153,Ádám Lang,Hungary
3159,Gregory Leigh,Jamaica
3166,Marco Verratti,Italy
3167,Antonio Rüdiger,Germany
3168,João Filipe Iria Santos Moutinho,Portugal
3175,Eiji Kawashima,Japan
3176,Thomas Meunier,Belgium
3186,Julian Draxler,Germany
3191,Ramy Bensebaini,Algeria
3193,Bernardo Mota Veiga de Carvalho e Silva,Portugal
3196,Wahbi Khazri,Tunisia
3198,Moussa Niakhate,Senegal
3202,Gabriel Fernando de Jesus,Brazil
3205,Kyle Walker,England
3226,Bassem Srarfi,Tunisia
3233,Raheem Sterling,England
3237,Sergio Leonel Agüero del Castillo,Argentina
3240,Mathew Ryan,Australia
3244,John Stones,England
3245,Thomas Lemar,France
3247,Fábio Henrique Tavares,Brazil
3248,Hamari Traoré,Mali
3250,Edson André Sitoe,Mozambique
3252,Oussama Haddadi,Tunisia
3254,Florian Thauvin,France
3255,Guessouma Fofana,Mauritania
3261,Benjamin Mendy,France
3262,Łukasz Fabiański,Poland
3264,Vincent Janssen,Netherlands
3265,José Luis Sanmartín Mato,Spain
3279,José Heriberto Izquierdo Mena,Colombia
3280,Richarlison de Andrade,Brazil
3281,Aaron Mooy,Australia
3289,Romelu Lukaku Menama,Belgium
3293,Jesse Lingard,England
3295,Thiago Emiliano da Silva,Brazil
3296,Marouane Fellaini-Bakkioui,Belgium
3300,Maya Yoshida,Japan
3302,Nordin Amrabat,Morocco
3306,Nathan Aké,Netherlands
3308,Kieran Trippier,England
3311,Daley Blind,Netherlands
3312,Demarai Gray,Jamaica
3313,Giovani Lo Celso,Argentina
3314,Phil Jones,England
3317,Kasey Palmer,Jamaica
3318,Marcus Rashford,England
3321,Patrick van Aanholt,Netherlands
3323,Tyrone Mings,England
3325,Marko Arnautović,Austria
3329,Cédric Ricardo Alves Soares,Portugal
3333,David de Gea Quintana,Spain
3336,Harry Maguire,England
3338,Onyinye Wilfred Ndidi,Nigeria
3347,André Ayew Pelé,Ghana
3349,Michail Antonio,Jamaica
3359,Jean Michaël Seri,Côte d'Ivoire
3377,Timothy Weah,United States
3378,Iván Balliu Campeny,Albania
3380,Christian Benteke Liolo,Belgium
3381,Nemanja Matić,Serbia
3382,Luke Shaw,England
3385,Alexis Alejandro Sánchez Sánchez,Chile
3404,Youssouf Sabaly,Senegal
3405,François Kamano,Guinea
3417,Saidy Janko,Gambia
3433,Lassana Coulibaly,Mali
3436,Idrissa Gana Gueye,Senegal
